"id_compra";"produto";"quantidade";"preco_unitario";"total";"forma_pagamento";"compra";"id_venda"
4;"tetra neon";7;650;4550;"Dinheiro";"2025-06-05 17:59:55";3
5;"tetra neon";7;650;4550;"Dinheiro";"2025-06-05 18:03:21";4
6;"beta";7;600;4200;"Dinheiro";"2025-06-05 18:59:39";5
7;"beta";3;600;1800;"Dinheiro";"2025-06-05 19:00:04";6
8;"beta";5;600;3000;"Dinheiro";"2025-06-05 19:02:07";7
9;"tetra";5;350;1750;"Dinheiro";"2025-06-05 19:02:07";7
10;"tetra";6;350;2100;"Dinheiro";"2025-06-05 19:03:12";8
11;"beta";2;600;1200;"Dinheiro";"2025-06-05 19:03:12";8
12;"beta";4;600;2400;"Dinheiro";"2025-06-05 19:05:34";9
14;"area";12;150;1800;"Cartão";"2025-06-05 19:06:01";10
15;"beta";3;600;1800;"Cartão";"2025-06-05 19:06:01";10
16;"area";13;150;1950;"Dinheiro";"2025-06-05 19:09:10";11
17;"beta";1;600;600;"Dinheiro";"2025-06-06 20:52:31";12
18;"beta";1;600;600;"Dinheiro";"2025-06-06 21:01:28";13
19;"beta";1;600;600;"Dinheiro";"2025-06-06 21:02:10";14
20;"beta";1;600;600;"Dinheiro";"2025-06-06 21:02:50";15
21;"beta";1;600;600;"Dinheiro";"2025-06-06 21:04:06";16
22;"beta";1;600;600;"Dinheiro";"2025-06-06 21:06:47";17
23;"beta";1;600;600;"Dinheiro";"2025-06-06 21:08:38";18
24;"beta";3;600;1800;"Dinheiro";"2025-06-07 15:21:19";19
25;"beta";3;600;1800;"Dinheiro";"2025-06-07 15:22:25";20
26;"beta";3;600;1800;"Dinheiro";"2025-06-07 15:23:01";21
27;"beta";3;600;1800;"Dinheiro";"2025-06-07 15:25:36";22
28;"Rocha";4;250;1000;"Cartão";"2025-06-07 15:28:44";23
29;"area";23;130;2990;"Dinheiro";"2025-06-07 15:49:57";24
